course          total      used   female   SOA    a18     a25     a30    a40      a50     a60
CS1            18147      6956   17.81   24.60   21.16   21.16   29.73   15.96    8.34    3.65
CS2                0      1108   20.58   21.75   17.87   17.96   30.87   17.96   11.19    4.15      
Educ1           1060       415   51.08    7.47    3.13    8.19   27.47   28.19   21.93   11.08
Educ2            880       290   51.72    9.31    3.45    6.90   26.55   27.93   22.41   12.76
Chem1           1650       690   42.46   31.45   23.77   21.59   25.22   12.46   10.00    6.96
Chem2            803       235   37.45   29.79   30.21   22.13   22.98   11.49    7.66    5.53
Bus1            1062       405   42.96   35.56   14.57   24.94   24.69   16.79   12.10    6.91
Bus2             766       260   52.69   36.15   17.31   21.92   26.15   14.62    8.08   11.92
Bus3             768       224   47.77   29.02    8.93   20.98   27.68   14.29   12.50   15.63
Env1            2010      1030   45.13   39.65    8.94   20.97   30.35   14.96   13.45   11.33
Env2            2376      1253   54.83   47.25   10.06   21.15   27.29   15.72   14.05   11.73
Env3            1954       867   48.44   28.49   10.27   17.88   25.03   16.49   17.19   13.15
Env4            1921       708   52.12   29.10   12.71   23.02   30.51   13.98   10.88    8.90
Env5            2065       846   46.57   23.76   13.12   20.69   24.35   15.84   12.88   13.12
Env6            1045       433   51.50   26.33    9.70   18.01   27.48   13.86   14.32   16.63
Animal           671       218   51.15   41.01   15.21   19.82   29.49   13.82   13.82    7.83
